Disease,S1,S2,S3,S4,S5,S6
Aplasia of lacrimal and salivary glands,Dry mouth,Tooth decay,Irritated eyes,Absent salivary ducts,Lack of salivation,Lack of tears
Allergic irritability syndrome,Hyperactivity,Irritability,Allergic rhinitis,Temper tantrums,,
Bicipital tendinosis,Aching shoulder,Tenderness over bicipital groove,Shoulder pain,Shoulder pain when performing overhead activities,Shoulder pain when lifting heavy objects,
Del (4) (pter-p16.2),Cleft palate,Mental retardation,Seizures,Cleft lips,Retarded growth,
Asthmatic bronchitis,Recurrent chest infections,Tight 'chesty' cough with or without sputum production,Chest tightness,Breathlessness,Wheezes,Nocturnal cough
Atrus syndrome,Congenital thrombocytopenia,Easy bruising,Fifth finger clinodactyly,Purpura,Amegakaryocytic thrombocytopenia,Fused forearm bones
"Inclusion body myopathy, 2 autosomal recessive",Pelvic girdle muscle wasting,Muscle weakness in legs,Shoulder girdle muscle weakness,Shoulder girdle muscle wasting,Walking difficult,Muscle wasting in arms
Aniridia ataxia renal agenesis psychomotor retardation,Psychomotor retardation,Absent irises,Ataxia,Underdeveloped kidneys,,
Aniridia i,Blindness,Absence of iris,Vision impairments,Partial absence of iris,,
Ghosal syndrome,Leukopenia,Bone marrow abnormalities,Bowed long bones,Thickened skull,Pelvis anomaly,Thrombocytopenia
Breast duct papilloma,Nausea,Bone pain,Night sweats,Blood-stained or serous nipple discharge,Lump behind or just next to nipple (may be painful),Enlarged glands under armpit (enlarged axillary lymph nodes)
Fire cherry poisoning,Irregular breathing,Spasms,Excitement,Dizziness,Dilated pupils,Chills
Fire ant bite,Nausea,Abnormal heart rhythm,Breathing difficulties,Aches,Pustules at site of bite - last 3-8 days,Tiredness
Arts syndrome,Muscle hypotonia,Hearing loss,Optic disc anomaly,Severe vision loss,Reduced reflexes,Impaired hearing
Ruvalcaba-churesigaew-myhre syndrom,Early-onset senility,Hypogonadism,Thin skin,Hardening of blood vessels,Eye problems,
Arachnephobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Babinski-nageotte syndrome,Adiadokokinesis,Loss of pain sensation on one side of face,Dysmetria,Constricted pupils,Paralysis of one side of tongue,Pain in one side of neck
"Affective disorders, psychotic",Excitement,Elation,Hallucinations,Anxiety,Depression,Delusions
Familial hypertrophic cardiomyopathy 4,Abnormal heart rhythm,Lightheadedness,Palpitations,Breathlessness,Pounding heartbeat,Fainting from exertion
Bothnia retina dystrophy,Progressive los of visual acuity,Blindness,Night blindness,Electroretinogram abnormalities,Retinitis punctata albescens,
Autumn crocus poisoning,Nausea,Temporary hair loss,Diarrhea,Abdominal pain,Hemoglobinuria,Increased blood pressure
Galloway syndrome,Small head,Psychomotor retardation,Large ears,Reduced muscle tone,Retarded motor development,Hiatal hernia
"Adult progressive spinal muscular atrophy, aran duchenne type",Muscle cramps,Muscle wasting,Tongue twitching,Weak tongue,Muscle weakness,Head droops forwards
Buntinx-lormans-martin syndrome,Short statures,Short fingers,Small head,Kyphosis,Beaked nose,Short toes
Amathophobia,Anxiety,Trembling,Feeling of panic,Feeling of terror,Extreme avoidance measures taken,Shortness of breath
Azalea poisoning,Nausea,Paresthesia,Reduced blood pressure,Visual changes,Transient blindness,Diarrhea
"Dandy-walker malformation with mental retardation, basal ganglia disease, and seizures",Spasticity,Reduced muscle tone,Underdeveloped brain - cerebellum,Mental retardation,Contractures,Long face
Agenesis of salivary glands and lacrimal glands,Tooth decay,Absent salivary glands,Absent lacrimal glands,Absent duct openings,Lack of tears,
"Alacrimia, congenital",Lack of infant tears,Underdeveloped lacrimal glands,Corneal erosions,Absent tear duct opening,,
Auditory seizure,Imagining music,Hearing sounds that don't exist,Imagining voices,Imagining sounds,,
Auditory perceptual disorder,Behavioral problems,Difficulty comprehending words in noisy environment,Difficulty carrying out directions with multiple steps,Difficulty discriminating similar speech sounds,Speech perception problems,Sound localization problems
Peduncular hallucinosis,Daytime drowsiness,Hallucinations,Seeing bright vivid images that don't exist,Sleep problems,Visual hallucinations,
Microdontia -- type i microtia -- deafness,Anteverted ears,Small ears,Wide spaces between teeth,Absent inner ear structures,Delayed gross motor skills,Small teeth
Hip subluxation,Toe walking,Limp,Partial dislocation of hips,Waddling walk,Hip pain,Unequal leg lengths
Adult-onset renal failure,Nephritis,Protein in urine,Increased blood pressure,Blood in urine,Increased urination,
Amyloidosis of gingiva and conjunctiva mental retardation,Blindness,Leukoma,Thick gums,Mental retardation,Swollen eyelids,
Amlodipine toxicity,Coma,Metabolic acidosis,Hypotension,Bradycardia,Hyperglycemia,
Agyria pachygyria polymicrogyria,Refractory epilepsy,Abnormal brain development,Polymicrogyria,Pachygyria,Agyria,Mental retardation
Anterior segment mesenchymal dysgenesis,Anterior schwalbe line,Corneal opacities,Reduced visual acuity,Cataract,,
Misosophy,Nausea,Dry mouth,Anxiety,Trembling,Feeling of panic,Feeling of terror
Annular pustular psoriasis,Burning skin,Itchy skin,Ring shaped skin lesions with clearing in the middle,Ringed skin lesions,Stinging skin,Skin peeling
Adrenal hyperplasia,Nausea,Low blood pressure,High androgen levels,Cold sensitivity,Irritability,Enlarged adrenal glands
Giant silkworm poisoning,Urticaria,Itching,Localized skin redness,Skin rashes,,
Chemical poisoning -- baking powder,Nausea,Diarrhea,Abdominal pain,Increased thirst,,
Lissauer paralysis,Facial paralysis,Dementia,Weakness on one side of body,Transient lazy eye,Seizures,Aphasia
Central line infection,Septicemia,Swelling at iv insertion point,Redness at iv insertion point,Pain at iv insertion point,Fever,
Autism,Hyperactivity,Reduced sensitivity to pain,Repetitive movements,Stereotyped language,Regression,Not talking
"Autism, susceptibility to, 15",Hyperactivity,Reduced sensitivity to pain,Repetitive movements,Stereotyped language,Regression,Not talking
Batten disease,Personality changes,Slow learning,Vision loss,Behavioral changes,Clumsiness,Stumbling
Ischiopatellar dysplasia,Short fourth and fifth foot bones (metatarsals),Absent kneecap,Upper thigh bone abnormality,Gap between first two toes,Pelvic girdle abnormality,Short toes
"Inclusion body myopathy 3, autosomal dominant",Loss of balance,Proximal muscle weakness,Muscle wasting,Weak eye muscles,Progressive muscle weakness,Congenital joint contractures
Agnathia-microstomia-synotia,Synotia,Small  mouth,Small lower jaw,Absent lower jaw,,
"Ataxia -- apraxia -- mental retardation, x-linked",Apraxia,Mental retardation,Ataxia,Seizures,Clubfeet,
Bárány syndrome,Headache on one side of the back of the head,Periodic deafness on same side as headache,Vertigo,Tinnitus,,
Cleft lip palate incisor and finger anomalies,Cleft palate,Finger anomalies,Incisor anomalies,Cleft lips,,
Akinetic mutism,Lack of movement,Unresponsive to pain,Apathy,Inability to talk,,
Apallic syndrome,Agnosia,Anoxia,Open eyes,Global aphasia,Apraxia,Unresponsive
Adult onset angioedema,Welts,Skin pain,Skin swelling,Skin warmth,,
Agyria-pachygyria type 1,Spasticity,Small brain,Broad shallow brain gyre,Smooth brain,Mental retardation,Seizures
Lazarus complex,Anxiety,Recurring nightmares,Feeling of alienation,Depression,Mood disturbances,
Lipid metabolism conditions,Abnormal lipid deposits,Early death in some cases,Abnormal lipid metabolism,Abnormal lipid levels,,
Aminoacylase 1 deficiency,Syringomyelia,Psychomotor delays,Reduced muscle tone,Seizures,,
Chromosome 6pter-p24 deletion syndrome,Reduced muscle tone,Developmental delay,Prominent forehead,Abnormal skull shape,,
Anxiety-tension syndrome,Dizziness,Emesis,Anxiety,Spastic bowel,Constipations,Diarrhea
Armendares syndrome,High arched palate,Epicanthus,Small head,Short fifth finger,Short nose,Premature fusion of sagittal skull bones
Baneberry poisoning,Dysuria,Dizziness,Oral irritation,Headaches,Confusion,Dermatitis
Bladder conditions,Suprapubic pain,Haematuria,Rigidity over the lower abdomen,Distended bladder,Urinary retention,
Carpal deformity -- micrognathia -- microstomia,Small  mouth,Wrist pain,Small jaw,Wrist bone defect,,
Endocrine pancreatic cancer,Jaundice,Mass,Pruritis,Abdominal pain,Nauses,Ascites
Severe congenital neutropenia,Sore throat,Premature tooth loss,Redness around wound,Diarrhea,Chills,Frequent bacterial infections
Chronic vilyuisk encephalitis,Spastic paraparesis,Dementia,Double vision,Speaking difficulty,Brain anomalies,Brain atrophy
Sub acute angle closure glaucoma,Headaches,Coloured haloes around light,Eyeache,Vision impairments,,
Diabetes-like pressure ulcer,Red skin lesion - early symptom,Progressive tissue damage at site of ulcer,Open skin sore,Skin blistering,,
Brachyrachia,Mild limb shortening,Short trunk dwarfism,Mild minor end plate irregularity,Rounded vertebral edges,Abnormal curvature of the spine,
Atopic asthma,Chest tightness,Breathing difficulties,Chest pain,Shortness of breath or wheezing,Chest pressure,Constricted airways
Atrial arrhythmia,Abnormal heart rhythm,Light headedness,Palpitations,Thumping sensation in chest,Chest pain,Tiredness
Intrahepatic cholangiocarcinoma,Enlarged liver,Jaundice,Abdominal pain,Abdominal mass,Itching,Anorexia
"Aniridia, sporadic",Enlarged pupils,Absent irises,Poor vision,Impaired vision,Nystagmus,
"Alveolitis, extrinsic allergic",Breathing difficulties,Coughing up blood with prolonged exposure,Dry cough,Fever with prolonged exposure,Cyanosis with prolonged exposure,Shortness of breath or wheezing
Fire-bellied toad poisoning,Eyelids swelling,Hives,Skin irritation,Eye irritation,Lethargy,Mouth irritation
Bartonella,Enlarged liver,Swollen lymph glands,Tiredness,Brain involvement,Eye infections,Skin rashes
Autoimmune hemophilia,Haematuria,Compartment syndromes,Joint bleeding,Soft tissue bleeding,,
Mental retardation -- spasticity -- ectrodactyly,Spasticity,Ectrodactyly,Weak legs,Simian creases,Webbed fingers,Curved fifth finger
Battered spouse syndrome,Sexual assault,Emotional abuse,Verbal threats of physical harm,Nonverbal threats of physical harm,Physical assault,
Clear cell renal cell carcinoma,Abdominal pain,Abdominal mass,Fever,Enlarged kidneys,Blood in urine,
Tibial hemimelia -- cleft lip/palate,Cleft palate,Missing part of shin bone,Cleft lips,Missing shin bone,,
Aneurysmal subarachnoid haemorrhage,Nausea,Sensitivity to light,Reduced consciousness,Headaches,Neck pain,Lethargy
Lattice dystrophy,Eye pain,Lattice-like deposits over cornea,Blinking pain,Blurred vision,,
Barotrauma,Sinus pain,Hearing loss,Ear infections,Headaches,Chest pain,Fits
Renal dysplasia hepatic fibrosis dandy walker,Dandy walker malformations,Congenital liver fibrosis,Cystic dysplastic kidneys,Epicanthic folds,Low set ears,Premature birth
Churee poisoning,Nausea,Skin redness,Diarrhea,Skin swelling,Skin blisters,Abdominal pain
Devriendt syndrome,Short statures,Extra bones in index finger,Unusual facial appearancy,Robin sequence,Seizures,
"Agammaglobulinemias, primary",Chronic intestinal inflammation,Persistent parasitic infections,Persistent viral infections,Recurring pus-producing ear infections,Impaired immune response,Diarrhea
Anotia -- facial palsy -- cardiac defect,Ventricular septal defects,Narrowed pulmonary valves,Absent ears,Congenital heart defects,Cleft palate,Small ears
Arthritis-related enthesitis,Pelvis swelling,Elbow pain,Pain in fingers,Heel swelling,Chest wall pain,Chest wall swelling
"Arthrogryposis, distal, type 2e",Reduced facial expressions,High arched palate,Flexion contractures of feet,Small head,Small  mouth,Mild developmental delay
"Auditory diseases, central",Problems following directions involving multiple steps,Hearing problems in noisy environment,Hearing problems when using the phone,Problems remembering a verbal conversation,Difficulty following long conversations,Difficulty learning a new language
"Brachydactyly, type a7",Short middle bones in index finger,Short middle bones in second toe,Short broad end bones in thumb,Short broad end bones in toes,Dislocated thumbs,
African tick typhus,Swollen lymph glands,Raised red rash,Ulcer at site of bit,Fever,,
Perimenopause,Heavy menstrual bleeding,,,Menstrual changes,Absence of menstruation,Cold sweats
Autonomic dysreflexia syndrome,Anxiety,High blood pressure,Headaches,Sweating,Flushing,Diaphoresis
Fenwick ulcer,Recurring cystitis,Bladder damage,Urination pain,Blood in urine,,
Adolescent cataract and infertility syndrome,Testicular failure,High thyroid hormone level,Sterility,Cataract,,
Agyria,Spasticity,Psychomotor retardation,Reduced muscle tone,Failure to thrive,Smooth brain surface,Seizures
Al gazali-khidr-prem chandran syndrome,Short statures,Optic atrophy,Abnormal teeth,Cherubic facial appearance,Thick gums,Swollen cheeks
Alcock syndrome,Perianal pain,Incontinence,Sensation of foreign object in urethra,Sensation of foreign object in vagina,Sensation of foreign object in penis,Sensation of foreign object in rectum
Ankle fracture,Ankle numbness,Ankle swelling,Weak ankles,Sore ankle,Ankle pain,Trouble moving foot
Arterial insufficiency,Muscle cramps,Pale limbs,Symptoms improved with rest,Loss of hair on limb,Absent or diminished pulse,Cold limbs
Arthrogryposis distal,Positional foot deformities,Characteristic hand positioning,Camptodactyly,Knee contractures,Talipes varus,Talipes valgus
"Ataxia, spastic, 3, autosomal recessive",Spasticity,Urinary urgency,Cerebellar atrophy,Mild horizontal nystagmus,Cortical atrophy,Ataxic gait
Mental retardation progressive spasticity,Progressive spasticity,Mental retardation,Ataxia,Seizures,,
"Chorioretinal atrophy, progressive bifocal",Changes in retinal blood vessels,Myopia,Poor vision,Nystagmus,,
Bone pain,Bone pain,Muscle cramps,Tenderness,Fractures,Muscle pain,
Cataracts,Sensitivity to light,Double vision,Degraded night vision,Faded colors,Night glare,Blurred vision
Cerebral malaria,Coma,Altered consciousness,Fever,Seizures,,
Chest pain,Chest pain,Symptoms of angina,Chest discomfort,Heartburn,Symptoms of heart attack,
High cholesterol,Cholesterol deposits around cornea,Whitish edges of cornea,Yellowish patches around eyelids,Xanthomas,,
Pyridostigmine -- teratogenic agent,Esophageal atresia,Hydrops,Oral clefts,Hydramnios,Underdeveloped lungs,
Sprengel deformity,Advanced shoulder position,Limited shoulder abduction,Elevated shoulder,Abnormal curvature of the spine,,
Brachydactyly -- scoliosis -- carpal fusion,Short fingers,Fused wrist bones,Short toes,Curved spine,,
Chlorambucil -- teratogenic agent,Kidney agenesis in males,Ureter agenesis in males,Retarded fetal growth,Heart defect,,
